26.0, 30.0, 35.0, 33.0, 40.0, 32.0, 35.0, 39.0, 37.0, 38.0, 42.0
303, 414, 976, 2109, 4069, 8895, 18716, 37905, 80355, 163073, 346647

22.0, 27.0, 16.0, 33.0, 17.0, 20.0, 29.0, 6.0, 20.0, 31.0, 26.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32.0, 41.0, 26.0, 40.0, 32.0, 43.0, 37.0, 33.0, 33.0, 41.0, 44.0
1659, 2074, 2656, 3907, 4684, 6853, 6943, 8903, 12711, 14072, 15694
29.0, 36.0, 25.0, 37.0, 30.0, 42.0, 31.0, 29.0, 30.0, 36.0, 38.0
1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0
32.0, 41.0, 26.0, 40.0, 32.0, 43.0, 37.0, 33.0, 33.0, 41.0, 44.0
238, 411, 819, 1963, 4049, 8447, 17809, 37349, 79379, 158106, 314769

21.0, 25.0, 25.0, 20.0, 24.0, 19.0, 19.0, 24.0, 21.0, 24.0, 28.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30.0, 29.0, 37.0, 37.0, 37.0, 27.0, 36.0, 38.0, 35.0, 37.0, 47.0
1752, 1472, 2708, 3708, 5077, 6498, 8419, 10704, 13565, 15908, 16776
27.0, 29.0, 34.0, 31.0, 33.0, 25.0, 32.0, 32.0, 30.0, 31.0, 42.0
0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 16
30.0, 29.0, 37.0, 37.0, 37.0, 27.0, 36.0, 38.0, 35.0, 37.0, 47.0
181, 457, 924, 1679, 4079, 8397, 17895, 37430, 78211, 158367, 303119









